Escalier,-68,-72,-66,-72,-73
Escalier,-79,-72,-79,-72,-72
Escalier,-79,-75,-79,-75,-63
Escalier,-67,-72,-66,-72,-70
Escalier,-72,-73,-71,-73,-74
Escalier,-68,-72,-68,-72,-70
Escalier,-68,-73,-67,-72,-73
Escalier,-69,-62,-69,-62,-79
Escalier,-81,-74,-82,-73,-77
Escalier,-79,-78,-77,-78,-71
Escalier,-67,-69,-68,-69,-80
Escalier,-62,-67,-62,-68,-68
Escalier,-70,-75,-70,-75,-72
Escalier,-71,-74,-71,-74,-75
Escalier,-71,-77,-71,-77,-83
Escalier,-71,-78,-71,-79,-79
Escalier,-79,-73,-78,-74,-70
Escalier,-84,-70,-83,-70,-77
Escalier,-78,-72,-78,-68,-76
Escalier,-78,-84,-78,-82,-71
Escalier,-76,-79,-76,-80,-75
Escalier,-77,-80,-78,-78,-73
Escalier,-80,-76,-79,-76,-69
Escalier,-64,-70,-64,-70,-66
Escalier,-73,-75,-73,-75,-70
Escalier,-70,-75,-69,-74,-68
Escalier,-72,-81,-71,-81,-77
Escalier,-75,-69,-76,-69,-69
Escalier,-69,-72,-68,-73,-73
Escalier,-71,-71,-69,-71,-66
Escalier,-74,-81,-71,-79,-71
Escalier,-82,-76,-73,-78,-76
Escalier,-64,-70,-65,-70,-77
Escalier,-66,-68,-65,-68,-63
Escalier,-81,-83,-80,-80,-73
Escalier,-75,-82,-75,-81,-78
Escalier,-82,-84,-82,-83,-73
Escalier,-74,-82,-75,-81,-81
Escalier,-69,-74,-69,-74,-72
Escalier,-70,-74,-68,-74,-72
Escalier,-72,-76,-71,-76,-68
Escalier,-76,-79,-77,-78,-75
Escalier,-74,-82,-73,-81,-73
Escalier,-81,-79,-78,-79,-79
Escalier,-66,-69,-65,-69,-69
Escalier,-66,-70,-66,-70,-74
Escalier,-66,-71,-67,-70,-67
Escalier,-67,-70,-66,-70,-66
Escalier,-67,-71,-67,-70,-73
Escalier,-66,-70,-66,-70,-67
Couloir,-38,-32,-37,-33,-71
Couloir,-50,-38,-47,-39,-71
Couloir,-38,-33,-37,-33,-71
Couloir,-43,-38,-43,-38,-75
Couloir,-37,-32,-37,-32,-71
Couloir,-59,-37,-59,-37,-74
Couloir,-39,-33,-38,-33,-73
Couloir,-56,-37,-55,-37,-78
Couloir,-39,-33,-40,-32,-68
Couloir,-51,-35,-49,-36,-74
Couloir,-39,-33,-38,-32,-71
Couloir,-55,-35,-56,-35,-75
Couloir,-55,-32,-56,-33,-75
Couloir,-42,-37,-42,-36,-74
Couloir,-37,-33,-36,-33,-71
Couloir,-43,-37,-43,-37,-74
Couloir,-39,-32,-39,-32,-77
Couloir,-42,-38,-41,-38,-76
Couloir,-35,-33,-36,-33,-73
Couloir,-43,-35,-43,-36,-80
Couloir,-39,-32,-38,-32,-72
Couloir,-55,-37,-53,-37,-79
Couloir,-38,-33,-38,-33,-77
Couloir,-46,-37,-40,-37,-77
Couloir,-38,-33,-37,-33,-76
Couloir,-44,-39,-47,-39,-79
Couloir,-39,-33,-38,-32,-71
Couloir,-42,-38,-41,-39,-77
Couloir,-37,-32,-36,-33,-71
Couloir,-48,-36,-42,-37,-77
Couloir,-38,-32,-37,-32,-68
Couloir,-42,-37,-41,-39,-77
Couloir,-38,-33,-36,-33,-71
Couloir,-42,-37,-41,-38,-77
Couloir,-37,-32,-35,-32,-70
Couloir,-37,-38,-35,-38,-79
Couloir,-37,-33,-36,-33,-75
Couloir,-39,-38,-38,-38,-80
Couloir,-38,-32,-37,-32,-74
Couloir,-49,-37,-48,-38,-74
Couloir,-37,-33,-37,-33,-74
Couloir,-43,-40,-42,-37,-77
Couloir,-38,-38,-38,-33,-77
Couloir,-40,-40,-41,-38,-77
Couloir,-38,-40,-37,-33,-77
Couloir,-37,-42,-41,-38,-76
Couloir,-37,-37,-38,-33,-77
Couloir,-41,-42,-40,-38,-76
Couloir,-38,-38,-37,-33,-76
Couloir,-41,-38,-41,-38,-78
